Idioma,Age:,Education:,Country,Do you have experience or work with GIS (Geographic Information System)?,What is your level of fluency in English:,"Active mappers are those who make changes to the platform at least 42 days a year. Do you consider yourself an active mapper? (If you have any questions, you can check at https://hdyc.neis-one.org/).",How long have you been involved in the OSM community?,How often do you visit and use OSM.org?,How did you learn about OpenStreetMap:,What do you use OSM data for?,What is your main involvement with OpenStreetMap?,I use OSM.org...,How often do you use GPS navigation apps?,Which of these definitions do you think best describes OSM?,How often do you write a note in OSM?,How often do you use notes to map or close them in OSM?,Do you use tools to export OSM data?,How often do you use export tools?,Which of these GPS navigation apps do you use most in your day-to-day life?,What formats do you usually download map data in:,Which of these export tools do you use most often?,General,Search (Nominatim),Historic and Changeset,Login,Notes,Profile,Messages,Diary,Settings,Navigation and routing in OSM.org,Help tab,About tab,Export directly in OSM.org,Carto (Default view),GPS Tracks,Search results (Nominatim):,Viewing the search results:,History:,Visualization of the Changest:,Navigating the OpenStreetMap website:,Tags:,Get information about POIs (Point of Interest):,Communication and finding the mappers on the website:,Corporate and bot profiles should be easy to recognize:,would like to see statistics on my profile and other users:,"Other open address data sources (e.g., OpenAddress) could be integrated into the search bar."
English (United Kingdom)‎,35-44 years old,Doctorate/PhD,Germany,I have little or no experience with GIS,Native,No,1 to 5 years,2 times per week,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;Add and edit Notes,1 time a month,Geographic database,1 time a month,1 time a month,No,,Organic Maps;Waze,,,3,1,1,3,5,3,3,3,3,3,,,,3,,Very imprecise,Confusing,Very confusing,Very confusing,Neutral - Neither complicated nor simple,,,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Italiano,55-64 years old,Doctorate/PhD,Italy,I have little or no experience with GIS,Basic,Yes,5 to 10 years,More than once a day,Through a friend or family member,I use it for navigation/GPS,Hobbyist/community,To edit;Add and edit Notes;To see the rendered data,More than once a day,Geographic database,1 time a week,1 time a week,No,,OSMAnd;Google Maps;Waze,,,4,1,2,4,4,,1,2,2,1,2,,2,3,2,Imprecise,Neutral - Neither confusing nor clear,Confusing,Confusing,Neutral - Neither complicated nor simple,Very complicated,Complicated,Very complicated,Neither agree nor disagree,Strongly agree,Strongly agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Poland,I have no experience with GIS or work,Advanced,Yes,1 to 5 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a week,Collaborative map,1 time a month,I can't remember or I don't use it,No,,Google Maps;OSMAnd;OSM viewer (only serves jpeg tiles),,,5,5,4,5,2,5,,5,,5,,,,5,2,Precise,Clear,Very clear,Very confusing,Very Simple,Simple,Very Simple,Very Simple,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
Italiano,25-34 years old,Undergraduate or Bachelor's degree,Italy,I have no experience with GIS or work,Intermediary,Yes,Less than 1 year,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit,I can't remember or I don't use it,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;Mapy.cz,,,4,3,4,5,3,4,2,2,4,3,3,2,3,4,3,Neutral - Neither imprecise nor precise,Confusing,Neutral - Neither confusing nor clear,Clear,Complicated,Neutral - Neither complicated nor simple,Complicated,Complicated,Neither agree nor disagree,More or less disagree,More or less disagree
Italiano,35-44 years old,Undergraduate or Bachelor's degree,Italy,I have no experience with GIS or work,Advanced,Yes,5 to 10 years,1 time a week,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments;To edit,2 times per week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Waze;Google Maps,,,4,4,3,5,4,4,4,3,3,4,3,4,4,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Confusing,Confusing,Neutral - Neither complicated nor simple,Simple,Simple,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less agree
Français (France),45-54 years old,Undergraduate or Bachelor's degree,France,I have little or no experience with GIS,Basic,Yes,5 to 10 years,More than once a day,Through a friend or family member,I use it for navigation/GPS;I use it for work;travail personnel,Hobbyist/community;Corporate (work),To see the rendered data;To edit;To check the history of edits and comments,1 time per day,Geographic database,1 time a week,2 times per week,No,,Waze;Magic Earth;OSMAnd,,,4,4,4,4,4,3,3,3,4,3,3,3,2,3,3,Imprecise,Confusing,Neutral - Neither confusing nor clear,Confusing,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Strongly agree
Deutsch,25-34 years old,High School,Germany,I have little or no experience with GIS,Basic,Yes,Less than 1 year,1 time per day,Through a friend or family member,I use it for navigation/GPS,Hobbyist/community,To check the history of edits and comments;To edit;To see the rendered data,1 time per day,Collaborative map,1 time a month,1 time a month,Yes,2 times per week,Organic Maps;Apple Maps,Über JOSM,Overpass Turbo,4,4,4,3,4,2,4,3,3,3,4,4,3,4,2,Neutral - Neither imprecise nor precise,Clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Complicated,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,45-54 years old,High School,Ukraine,Working with GIS,Basic,Yes,5 to 10 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community;Corporate (work),To edit;To see the rendered data;To check the history of edits and comments,More than once a day,Geographic database,1 time a month,2 times per week,No,,OSMAnd,,,5,3,3,3,4,4,4,3,5,2,5,4,4,4,3,Precise,Clear,Clear,Very Clear,Neutral - Neither complicated nor simple,Very Simple,Very Simple,Very Simple,More or less agree,Strongly agree,Strongly agree
English (United Kingdom)‎,25-34 years old,Master's Degree,United States,I have little or no experience with GIS,Native,Yes,5 to 10 years,2 times per week,Web Search,I use it for navigation/GPS,Hobbyist/community,To check the history of edits and comments;To see the rendered data;To edit,More than once a day,Other,1 time a month,1 time a month,No,,Organic Maps;OSMAnd;Google Maps,,,4,4,5,5,4,3,3,3,3,2,,,,3,,Neutral - Neither imprecise nor precise,Confusing,Clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,Strongly agree,More or less agree,More or less disagree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,United Kingdom,I have no experience with GIS or work,Native,No,1 to 5 years,I can't remember or I don't use it,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,i consume data through organic maps,More than once a day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Organic Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English (United Kingdom)‎,Under 18 years old,Elementary School,Poland,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,More than once a day,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments;To edit,1 time a month,Collaborative map,1 time a month,2 times per week,No,,Google Maps,,,4,1,3,5,3,1,2,5,1,3,4,4,2,5,4,Very imprecise,Very confusing,Neutral - Neither confusing nor clear,Very Clear,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Very complicated,Strongly agree,Strongly agree,More or less agree
English (United Kingdom)‎,18-24 years old,Undergraduate or Bachelor's degree,Thailand,I have little or no experience with GIS,Intermediary,Yes,1 to 5 years,1 time a month ,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community;YouthMappers,To check the history of edits and comments;To edit;To see the rendered data,2 times per week,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,No,,OSMAnd;Google Maps,,,4,3,4,4,3,4,3,4,3,4,3,4,4,4,4,Imprecise,Neutral - Neither confusing nor clear,Clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,Strongly agree,More or less agree,More or less agree
"Español (España, alfabetización internacional)",45-54 years old,Undergraduate or Bachelor's degree,Spain,I have little or no experience with GIS,Advanced,No,More than 10 years,2 times per week,Application that uses OSM data,I use it for navigation/GPS;Xplane,Humanitarian;Hobbyist/community;Dev,To see the rendered data;To upload GPS traces;To edit,1 time a week,Wikipedia of maps,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;OSMAnd,,,4,3,4,4,3,3,3,3,3,4,3,3,3,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Complicated,Complicated,Strongly agree,Strongly agree,Strongly agree
中文（简体）‎,25-34 years old,Master's Degree,Taiwan,I have little or no experience with GIS,Intermediary,Yes,More than 10 years,1 time a week,"Social Media (Facebook, X (Twitter), Instagram)",I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To edit;Read diary entries,1 time per day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,Google Maps;OSMAnd,,,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Confusing,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,More or less agree,More or less agree,More or less agree
"Español (España, alfabetización internacional)",45-54 years old,Undergraduate or Bachelor's degree,Colombia,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,I can't remember or I don't use it,Application that uses OSM data,I use it for navigation/GPS,Hobbyist/community,To edit,2 times per week,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,No,,Maps.me,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Precise,Clear,Clear,Clear,Very Simple,Simple,Neutral - Neither complicated nor simple,Simple,More or less agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Iraq,Working with GIS,Basic,Yes,5 to 10 years,More than once a day,Application that uses OSM data,I use it for navigation/GPS;I use it for work,Hobbyist/community;YouthMappers;Dev,To see the rendered data;To upload GPS traces;To edit,More than once a day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,More than once a day,OSMAnd,JPG / PNG;GeoJSON / JSON / XML;PDF,Directly in OSM.org,5,3,5,5,2,5,3,2,3,5,3,5,3,2,5,Precise,Very confusing,Neutral - Neither confusing nor clear,Very confusing,Neutral - Neither complicated nor simple,Complicated,Neutral - Neither complicated nor simple,Very complicated,Strongly agree,Strongly agree,Strongly disagree
Deutsch,35-44 years old,High School,Germany,I have little or no experience with GIS,Intermediary,No,5 to 10 years,1 time per day,"News (Jornal, Blog etc.)",I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data,1 time per day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,No,,OSMAnd,,,4,3,4,4,4,4,4,4,5,5,4,4,3,4,4,Precise,Clear,Clear,Clear,Simple,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,More or less disagree,Strongly agree
"Español (España, alfabetización internacional)",25-34 years old,High School,Chile,I have no experience with GIS or work,Intermediary,Yes,1 to 5 years,1 time a week,Web Search,I use it for navigation/GPS,Hobbyist/community;Dev,To see the rendered data;To check the history of edits and comments,More than once a day,Wikipedia of maps,I can't remember or I don't use it,1 time a week,No,,Google Maps;OSMAnd;Here;Waze,,,4,3,4,5,3,5,4,3,3,4,4,3,4,5,4,Precise,Clear,Clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,Strongly agree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Poland,Working with GIS,Advanced,Yes,5 to 10 years,1 time per day,"News (Jornal, Blog etc.)",I use it for navigation/GPS;map for non-osm hobbies,Hobbyist/community,To see the rendered data;Add and edit Notes;To check the history of edits and comments,1 time a week,Wikipedia of maps,1 time a week,2 times per week,No,,Locus Maps,,,4,2,3,5,4,5,,,,,,,,5,1,Imprecise,Confusing,Neutral - Neither confusing nor clear,Very confusing,Simple,Simple,Neutral - Neither complicated nor simple,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
"Español (España, alfabetización internacional)",45-54 years old,Master's Degree,Spain,Working with GIS,Intermediary,Yes,More than 10 years,1 time per day,Through a friend or family member,I use it for navigation/GPS;I use it for work,Corporate (work);Hobbyist/community,To see the rendered data;To edit;Add and edit Notes,1 time a week,Geographic database,1 time a month,1 time a month,Yes,1 time a month,OSMAnd;Google Maps,Shapefile;GeoJSON / JSON / XML,Overpass Turbo;QGIS,4,2,4,5,5,,4,3,3,4,4,4,4,5,3,Imprecise,Confusing,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Strongly agree,More or less agree,More or less agree
Italiano,18-24 years old,Master's Degree,Italy,I have little or no experience with GIS,Advanced,Yes,1 to 5 years,1 time a week,Web Search,I use it for navigation/GPS,Hobbyist/community,To see the rendered data;To check the history of edits and comments,1 time per day,Collaborative map,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,OSMAnd;Google Maps,PDF;.ai / psd / SVG;GeoJSON / JSON / XML,Directly in OSM.org,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,Neutral - Neither imprecise nor precise,Clear,Clear,Clear,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Complicated,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,25-34 years old,Undergraduate or Bachelor's degree,Vietnam,I am a GIS student,Advanced,No,1 to 5 years,1 time a week,Application that uses OSM data,I use it for my startup project,Hobbyist/community;Dev,To edit,1 time a week,Geographic database,1 time a month,1 time a month,Yes,1 time a month,Google Maps,.OSM / .PBF,GeoFabrik,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,Neutral - Neither imprecise nor precise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Simple,Simple,Neutral - Neither complicated nor simple,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
English (United Kingdom)‎,35-44 years old,Undergraduate or Bachelor's degree,Tanzania,Working with GIS,Intermediary,Yes,5 to 10 years,More than once a day,Work,I use it for work;I use it for navigation/GPS,Humanitarian;Corporate (work);Government,To see the rendered data;To check the history of edits and comments;To edit,More than once a day,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,2 times per week,OSMAnd;Apple Maps;Organic Maps;Maps.me,GeoJSON / JSON / XML;Shapefile;.OSM / .PBF,HOT Export Tool;Overpass Turbo;APIs and/or Plugins,5,4,3,5,1,4,4,2,4,5,4,4,2,2,3,Very precise,Very clear,Confusing,Neutral - Neither confusing nor clear,Very Simple,Simple,Very Simple,Simple,Strongly agree,Strongly agree,Strongly agree
English (United Kingdom)‎,25-34 years old,High School,Brazil,I have no experience with GIS or work,Basic,Yes,1 to 5 years,1 time a week,Web Search,I use it for navigation/GPS;I use it for work,Hobbyist/community,To see the rendered data;To edit,1 time a week,Geographic database,I can't remember or I don't use it,I can't remember or I don't use it,Yes,1 time a month,Google Maps;Apple Maps,.OSM / .PBF,GeoFabrik,4,3,4,5,3,5,4,3,4,4,4,,4,4,4,Imprecise,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Neutral - Neither confusing nor clear,Simple,Neutral - Neither complicated nor simple,Neutral - Neither complicated nor simple,Simple,Strongly agree,More or less agree,Neither agree nor disagree
